          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
          x           x           x           x
      -5515       -5515           0           0
      -3999       -3999           0           0
         37          37           0           0
       -820        -820           0           0
       -380        -380           0           0
       -736        -736           0           0
      -3108       -3108           0           0
      -1850       -1850           0           0
      -3750       -3750           0           0
      -3525       -3525           0           0
       -930        -930           0           0
       2436        2436           0           0
      -1152       -1152           0           0
       -101        -101           0           0
       2862        2862           0           0
       5617        5617           0           0
       6847        6847           0           0
       5276        5276           0           0
       5241        5241           0           0
       5062        5062           0           0
       4724        4724           0           0
       2905        2905           0           0
      -2734       -2734           0           0
      -4774       -4774           0           0
       3039        3039           0           0
       3876        3876           0           0
       -736        -736           0           0
      -4045       -4045           0           0
      -4344       -4344           0           0
      -1780       -1780           0           0
      -5796       -5796           0           0
      -5237       -5237           0           0
       5679        5679           0           0
      11210       11210           0           0
       9138        9138           0           0
       -757        -757           0           0
      -2322       -2322           0           0
      -1513       -1513           0           0
      -3592       -3592           0           0
      -2691       -2691           0           0
        360         360           0           0
        577         577           0           0
        911         911           0           0
       6593        6593           0           0
       9438        9438           0           0
       2441        2441           0           0
      -2762       -2762           0           0
       -627        -627           0           0
       -490        -490           0           0
      -2795       -2795           0           0
      -4406       -4406           0           0
        974         974           0           0
       5687        5687           0           0
       5431        5431           0           0
      -2762       -2762           0           0
     -10780      -10780           0           0
     -12902      -12902           0           0
      -5975       -5975           0           0
      -5189       -5189           0           0
      -8052       -8052           0           0
      -7235       -7235           0           0
       3183        3183           0           0
      12460       12460           0           0
      10108       10108           0           0
       3680        3680           0           0
       7160        7160           0           0
       8748        8748           0           0
       1452        1452           0           0
      -3048       -3048           0           0
       6204        6204           0           0
      14374       14374           0           0
       5707        5707           0           0
      -6661       -6661           0           0
      -5009       -5009           0           0
      -6016       -6016           0           0
     -10477      -10477           0           0
     -11353      -11353           0           0
      -1146       -1146           0           0
       4759        4759           0           0
        -38         -38           0           0
      -2304       -2304           0           0
       4229        4229           0           0
       2729        2729           0           0
      -2017       -2017           0           0
      -2407       -2407           0           0
       2165        2165           0           0
       -224        -224           0           0
      -5161       -5161           0           0
      -6205       -6205           0           0
       2845        2845           0           0
       5384        5384           0           0
      -3357       -3357           0           0
      -6137       -6137           0           0
       2359        2359           0           0
       5186        5186           0           0
        171         171           0           0
      -1699       -1699           0           0
       2967        2967           0           0
       7460        7460           0           0
       4516        4516           0           0
       1812        1812           0           0
       5827        5827           0           0
       5797        5797           0           0
         38          38           0           0
      -7547       -7547           0           0
      -5162       -5162           0           0
       4402        4402           0           0
      10903       10903           0           0
       6296        6296           0           0
      -4476       -4476           0           0
     -11404      -11404           0           0
     -10047      -10047           0           0
      -1394       -1394           0           0
       1533        1533           0           0
      -1399       -1399           0           0
     -11245      -11245           0           0
     -19493      -19493           0           0
     -16514      -16514           0           0
       -407        -407           0           0
      11275       11275           0           0
